E1,f,R,t,g0,Pcr
21,0,1,0.006,0,0.6017
21,0,1,0.01,0,1.8624
21,0,1,0.014,0,3.9256
21,0,1,0.018,0,6.8784
21,0,1,0.022,0,10.7652
21,0,1,0.006,0.001,0.4449
21,0,1,0.01,0.001,1.5705
21,0,1,0.014,0.001,3.504
21,0,1,0.018,0.001,6.321
21,0,1,0.022,0.001,10.0776
21,0,1,0.006,0.005,0.2254
21,0,1,0.01,0.005,0.9685
21,0,1,0.014,0.005,2.4364
21,0,1,0.018,0.005,4.7466
21,0,1,0.022,0.005,7.9824
21,0,1,0.006,0.01,0.1515
21,0,1,0.01,0.01,0.6827
21,0,1,0.014,0.01,1.8057
21,0,1,0.018,0.01,3.6796
21,0,1,0.022,0.01,6.414
21,0.213,1,0.006,0,0.6139
21,0.213,1,0.01,0,1.9059
21,0.213,1,0.014,0,4.0257
21,0.213,1,0.018,0,7.0446
21,0.213,1,0.022,0,11.0264
21,0.213,1,0.006,0.001,0.4496
21,0.213,1,0.01,0.001,1.5982
21,0.213,1,0.014,0.001,3.5772
21,0.213,1,0.018,0.001,6.4602
21,0.213,1,0.022,0.001,10.2934
21,0.213,1,0.006,0.005,0.2308
21,0.213,1,0.01,0.005,0.9752
21,0.213,1,0.014,0.005,2.4588
21,0.213,1,0.018,0.005,4.8264
21,0.213,1,0.022,0.005,8.1331
21,0.213,1,0.006,0.01,0.1535
21,0.213,1,0.01,0.01,0.6841
21,0.213,1,0.014,0.01,1.8161
21,0.213,1,0.018,0.01,3.7202
21,0.213,1,0.022,0.01,6.5636
21,0.268,1,0.006,0,0.6166
21,0.268,1,0.01,0,1.915
21,0.268,1,0.014,0,4.047
21,0.268,1,0.018,0,7.0782
21,0.268,1,0.022,0,11.0907
21,0.268,1,0.006,0.001,0.4539
21,0.268,1,0.01,0.001,1.6044
21,0.268,1,0.014,0.001,3.5924
21,0.268,1,0.018,0.001,6.4818
21,0.268,1,0.022,0.001,10.3584
21,0.268,1,0.006,0.005,0.2344
21,0.268,1,0.01,0.005,0.9781
21,0.268,1,0.014,0.005,2.471
21,0.268,1,0.018,0.005,4.846
21,0.268,1,0.022,0.005,8.160 
21,0.268,1,0.006,0.01,0.1554
21,0.268,1,0.01,0.01,0.6922
21,0.268,1,0.014,0.01,1.8246
21,0.268,1,0.018,0.01,3.7301
21,0.268,1,0.022,0.01,6.5731
21,0.325,1,0.006,0,0.6188
21,0.325,1,0.01,0,1.9239
21,0.325,1,0.014,0,4.0668
21,0.325,1,0.018,0,7.107
21,0.325,1,0.022,0,11.1142
21,0.325,1,0.006,0.001,0.4589
21,0.325,1,0.01,0.001,1.6088
21,0.325,1,0.014,0.001,3.608
21,0.325,1,0.018,0.001,6.5202
21,0.325,1,0.022,0.001,10.4028
21,0.325,1,0.006,0.005,0.2366
21,0.325,1,0.01,0.005,0.9822
21,0.325,1,0.014,0.005,2.4788
21,0.325,1,0.018,0.005,4.8556
21,0.325,1,0.022,0.005,8.1823
21,0.325,1,0.006,0.01,0.1588
21,0.325,1,0.01,0.01,0.6974
21,0.325,1,0.014,0.01,1.8287
21,0.325,1,0.018,0.01,3.7386
21,0.325,1,0.022,0.01,6.5822
21,0.414,1,0.006,0,0.6227
21,0.414,1,0.01,0,1.9342
21,0.414,1,0.014,0,4.095
21,0.414,1,0.018,0,7.1706
21,0.414,1,0.022,0,11.1681
21,0.414,1,0.006,0.001,0.4658
21,0.414,1,0.01,0.001,1.6175
21,0.414,1,0.014,0.001,3.6272
21,0.414,1,0.018,0.001,6.5598
21,0.414,1,0.022,0.001,10.4633
21,0.414,1,0.006,0.005,0.2398
21,0.414,1,0.01,0.005,0.9896
21,0.414,1,0.014,0.005,2.4877
21,0.414,1,0.018,0.005,4.872
21,0.414,1,0.022,0.005,8.1985
21,0.414,1,0.006,0.01,0.1679
21,0.414,1,0.01,0.01,0.7048
21,0.414,1,0.014,0.01,1.9336
21,0.414,1,0.018,0.01,3.7395
21,0.414,1,0.022,0.01,6.6062
210,0,1,0.006,0,0.6031
210,0,1,0.01,0,1.8775
210,0,1,0.014,0,3.9759
210,0,1,0.018,0,6.9516
210,0,1,0.022,0,10.8782
210,0,1,0.006,0.001,0.4512
210,0,1,0.01,0.001,1.5808
210,0,1,0.014,0.001,3.5392
210,0,1,0.018,0.001,6.4032
210,0,1,0.022,0.001,10.2479
210,0,1,0.006,0.005,0.2447
210,0,1,0.01,0.005,0.9712
210,0,1,0.014,0.005,2.491
210,0,1,0.018,0.005,4.8056
210,0,1,0.022,0.005,8.1104
210,0,1,0.006,0.01,0.1587
210,0,1,0.01,0.01,0.6876
210,0,1,0.014,0.01,1.8128
210,0,1,0.018,0.01,3.705
210,0,1,0.022,0.01,6.4788
210,0.213,1,0.006,0,0.6135
210,0.213,1,0.01,0,1.9194
210,0.213,1,0.014,0,4.0626
210,0.213,1,0.018,0,7.1382
210,0.213,1,0.022,0,11.2091
210,0.213,1,0.006,0.001,0.4768
210,0.213,1,0.01,0.001,1.6077
210,0.213,1,0.014,0.001,3.6052
210,0.213,1,0.018,0.001,6.5286
210,0.213,1,0.022,0.001,10.4642
210,0.213,1,0.006,0.005,0.2552
210,0.213,1,0.01,0.005,0.9952
210,0.213,1,0.014,0.005,2.5268
210,0.213,1,0.018,0.005,4.8616
210,0.213,1,0.022,0.005,8.2120 
210,0.213,1,0.006,0.01,0.1711
210,0.213,1,0.01,0.01,0.7046
210,0.213,1,0.014,0.01,1.8294
210,0.213,1,0.018,0.01,3.7284
210,0.213,1,0.022,0.01,6.5166
210,0.268,1,0.006,0,0.6215
210,0.268,1,0.01,0,1.9279
210,0.268,1,0.014,0,4.0824
210,0.268,1,0.018,0,7.1718
210,0.268,1,0.022,0,11.2615
210,0.268,1,0.006,0.001,0.4889
210,0.268,1,0.01,0.001,1.6131
210,0.268,1,0.014,0.001,3.6228
210,0.268,1,0.018,0.001,6.5428
210,0.268,1,0.022,0.001,10.4833
210,0.268,1,0.006,0.005,0.2643
210,0.268,1,0.01,0.005,1.0162
210,0.268,1,0.014,0.005,2.5414
210,0.268,1,0.018,0.005,4.8724
210,0.268,1,0.022,0.005,8.2332
210,0.268,1,0.006,0.01,0.1799
210,0.268,1,0.01,0.01,0.7147
210,0.268,1,0.014,0.01,1.828
210,0.268,1,0.018,0.01,3.7381
210,0.268,1,0.022,0.01,6.5394
210,0.325,1,0.006,0,0.6311
210,0.325,1,0.01,0,1.9335
210,0.325,1,0.014,0,4.0959
210,0.325,1,0.018,0,7.1958
210,0.325,1,0.022,0,11.2964
210,0.325,1,0.006,0.001,0.4923
210,0.325,1,0.01,0.001,1.6246
210,0.325,1,0.014,0.001,3.6368
210,0.325,1,0.018,0.001,6.5862
210,0.325,1,0.022,0.001,10.5252
210,0.325,1,0.006,0.005,0.2694
210,0.325,1,0.01,0.005,1.0314
210,0.325,1,0.014,0.005,2.523
210,0.325,1,0.018,0.005,4.8828
210,0.325,1,0.022,0.005,8.266
210,0.325,1,0.006,0.01,0.1877
210,0.325,1,0.01,0.01,0.7251
210,0.325,1,0.014,0.01,1.8416
210,0.325,1,0.018,0.01,3.7499
